dss2o_id,dss2o_created,dss2o_modified,dss2o_uuid,dss2o_name,dss2o_definition,dss2o_stewardship_organisation,dss2o_workgroup,dss2o_version,dss2o_references,dss2o_origin_URI,dss2o_origin,dss2o_comments,dss2o_statistical_unit,dss2o_collection_method
241,2018-08-10,2021-04-15,3fd4291e-9c50-11e8-92a9-0273a7ea5052,Priority investment approach research DSS,"<div><p>The Priority Investment Approach (PIA) research<span> </span>data set specification (DSS) defines longitudinal social security information related to Centrelink recipients and&#160;their partners. The information defined includes information related to entitlements to benefits, payment information and&#160;demographic details (for example, sex, Indigenous status, refugee status and date of birth).&#8203;</p>
<p>A Centrelink recipient is a person to whom&#160;an Australian Government&#160;Centrelink benefit is provided.</p>
<p>A person is considered to be a recipient's partner if the person and recipient live together, or usually live together, and are:&#160;married, or in a registered relationship (opposite-sex or same-sex), or in a de facto relationship (opposite-sex or same-sex).</p>
<p>The data set does not include information relating to the&#160;Child Care Benefit (CCB) or Child Care Rebate (CCR).</p></div>",e4414942db3711e995fe62bb09eaf366,6,,"<p>Department of Human Services 2016. A guide to Australian Government payments 1 July&ndash;19 September 2016. Viewed 19 July 2016, <a href=""https://www.humanservices.gov.au/sites/default/files/co029-1607en.pdf"">https://www.humanservices.gov.au/sites/default/files/co029-1607en.pdf</a>.</p>",http://meteor.aihw.gov.au/content/index.phtml/itemId/650525,,"<p>The Australian Priority Investment Approach Longitudinal Income Support Administrative Dataset&nbsp;defines longitudinal social security data from the DHS&nbsp;EDW.</p>
<p>The investment approach to welfare supports the work done to implement the recommendations of the review of Australia&#39;s welfare system - the McClure Review.&nbsp;Data about&nbsp;the triggers that affect a person&#39;s&nbsp;transitions through&nbsp;the social support system have been collected in the form of the PIA research DSS.</p>
<p>The underlying criteria for this data set is subject to legislative review over the period of this data collection.</p>",,
242,2018-08-10,2020-11-24,3fd456dc-9c50-11e8-92a9-0273a7ea5052,PIA_Accommodation Cluster,"<p>The PIA Accommodation Cluster defines information about&nbsp;households and recipients that are eligible to receive Centrelink rental payments&nbsp;(type,&nbsp;frequency, payee, weekly payment amount), and information about homeownership status, accommodation type and subtenant status.</p>",e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650528,,,,
243,2018-08-10,2021-04-15,3fd46bf4-9c50-11e8-92a9-0273a7ea5052,PIA_Children Cluster,"<p>The Children Cluster defines information about recipients of Centrelink&nbsp;benefits who have children for whom they are eligible to receive a&nbsp;Family Tax Benefit (FTB) payment, a Double Orphan Pension&nbsp;or a Multiple Birth Allowance.</p>",e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650587,,"<div><p><strong>Family Tax Benefit Part A or B</strong></p>
<p>A&#160;FTB payment is a&#160;two-part payment that helps with the cost of raising children. To be eligible for the payment a&#160;recipient must:</p>
<ul>
	<li>have a dependent child (aged 0<span>&#8211;</span>15 years), or secondary student younger than 20 years of age who is not receiving a pension, payment or benefit such as Youth Allowance</li>
	<li>provide care for the child for at least 35% of the time</li>
	<li>meet an income test.</li>
</ul>

<p>A young person aged 19 can be an FTB child up to the end of the calendar year in which they turn 19, as long as they are in full-time secondary study.</p>

<p><strong>Double Orphan Pension</strong></p>

<p>The Double Orphan Pension is a payment to a recipient who cares for a child where:</p>

<ul>
	<li>both parents deceased, or</li>
	<li>one parent is deceased and the other parent is: in prison for at least 10 years, or held on remand and charged with an offence that may be punishable by imprisonment for a term of at least 10 years, or in a psychiatric hospital or nursing home for an indefinite period of time, or&#160;uncontactable, that is, whose whereabouts are unknown, or</li>
	<li>both parents live outside Australia or their whereabouts are unknown, and the child has been granted refugee status by the Australian Government, or admitted into Australia under a special humanitarian program approved by the Minister with portfolio responsibility and has not at any time lived in Australia with either or both parents.</li>
</ul>
</div>",,
244,2018-08-10,2021-04-15,3fd4813e-9c50-11e8-92a9-0273a7ea5052,PIA_Demographics Cluster,"<p>The Demographics Cluster defines demographic information relating to&nbsp;both recipients of Centrelink&nbsp;benefits and their partners. The information includes: age, country of birth, citizenship, gender, Indigenous status, refugee status, preferred and spoken language and marital status.</p>",e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650590,,,,
245,2018-08-10,2020-11-24,3fd4949e-9c50-11e8-92a9-0273a7ea5052,PIA_Disability Cluster,"The Disability cluster defines information relating to Centrelink recipients in relation to medical conditions, permanency of medical conditions and impairment ratings for the purposes of Disability Support Pension (DSP).",e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650608,,"<p>DSP is an income support payment for people who are:</p>
<ul>
	<li>aged between 16 years and age pension age (when claiming)</li>
	<li>satisfy the residence criteria, and</li>
	<li>either&nbsp;are permanently blind, or have a physical, intellectual or psychiatric disability causing functional incapacity of at least 20 points as measured by the Impairment Tables, and</li>
	<li>have a Continuing Inability to Work, or are participating in Supported Wage System.</li>
</ul>

<p>In order to claim the DSP, a person must undergo an assessment such as an Employment Services Assessment, a Job Capacity Assessment or Disability Medical Assessment. These assessments:</p>

<ul>
	<li>confirm details of the main medical conditions affecting the person&rsquo;s capacity to work</li>
	<li>assess how these conditions affect the person&rsquo;s capacity to work or take part in other activities</li>
	<li>identify suitable interventions and assistance to help the person into work or stay in a job.</li>
</ul>

<p>As part of these assessments, the person&#39;s treating doctor provides details of medical conditions that impact a person&#39;s ability to work. These conditions are given an order of impact, with the primary medical condition having the most significant impact on a person&#39;s functioning. For each medical condition, details of the permanency of the condition and an impairment rating (relating to the severity of the medical condition)&nbsp;are provided.</p>

<p>In order to determine the extent of impairment and permanency of a recipient&rsquo;s medical condition, the Department of Social Services also collects information on the type of functional impairment caused by that condition. However this data element has not been included in this data set in order to maintain the privacy and confidentiality of recipients.</p>",,
246,2018-08-10,2020-11-24,3fd4a7ea-9c50-11e8-92a9-0273a7ea5052,PIA_Income and Assets Cluster,<p>The Income and Assets Cluster defines information relating to the income received by a Centrelink recipient from&nbsp;continuous and one-off income sources.</p>,e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650616,,"<p><strong>Income tests</strong></p>

<p>Income tests are usually designed with a &rsquo;free area&rsquo;<strong>&mdash;</strong>&nbsp;the amount of income someone can have before the income test applies. The free area recognises that people need to use their wages to cover the costs of working before they can spend earnings on other needs. For unearned income, a free area allows a recipient to hold modest savings without affecting their payments (unless they have other income).</p>

<p>Income tests also have a &lsquo;taper rate&#39;<strong>&mdash;</strong>the amount by which payments reduce for every extra dollar of income received in excess of the free area. The taper rate is a compromise between the goal of reducing government assistance and recognising greater self reliance on one hand, while on the other hand maintaining a reward for working. When income falls, the taper rate dictates what proportion of the income will be replaced by income support or family payments.</p>

<p>The &lsquo;cut out&rsquo; is the income at which payments are reduced to zero when people cease to receive income support.</p>

<p>Income banking arrangements allow people to save (or &rsquo;bank credits&#39; for periods when they have little or no earnings to offset earnings at a later date).</p>

<p><strong>Assets&nbsp;tests</strong></p>

<p>Assets tests are intended to ensure people with high assets draw on their savings to meet their current needs. Assets tests usually have a threshold and a taper rate.</p>

<p>Non-homeowners have a higher assets test threshold than homeowners, but the principal home is exempt from the assets test.</p>

<p>The assets test limit is set at the value of the assets test threshold for Newstart Allowance and Parenting Payment (Single) (that is&nbsp;there is no taper) resulting in a &lsquo;sudden death&rsquo; limit whereby recipients lose their payment entirely if they have assets above the threshold.</p>",,
247,2018-08-10,2020-11-24,3fd4bbae-9c50-11e8-92a9-0273a7ea5052,PIA_Income support information Cluster,<p>The Income Support Information Cluster defines information in relation to the identification of Centrelink recipients and their partners; the type and status of Centrelink benefits; and income management initiatives recipients may be subject to.</p>,e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650619,,,,
248,2018-08-10,2021-04-15,3fd4cf72-9c50-11e8-92a9-0273a7ea5052,PIA_Location Cluster,"<p>The Location Cluster defines information relating to&nbsp;the country of birth, country of residence, and geographic location (postcode,&nbsp;Statistical area level 1 and state/territory of usual residence) of a recipient of Centrelink benefits.</p>",e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650634,,,,
249,2018-08-10,2021-04-15,3fd4e28c-9c50-11e8-92a9-0273a7ea5052,PIA_Reporting period Cluster,<p>The Reporting period&nbsp;cluster defines information about quarterly reporting&nbsp;start and end dates for recipients of Centrelink benefits.</p>,e4414942db3711e995fe62bb09eaf366,6,,,http://meteor.aihw.gov.au/content/index.phtml/itemId/650623,,,,
42117,2020-08-12,2020-11-24,8f06c8e2-dc6e-11ea-b9c4-02b137f3fb1e,Digital Metrics Core Data Items,Yet to be defined,7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,,,
